split_seed,method,round,batch_position,experiment_id,selection_role,PI,EI,GP_mean,GP_std,d_min,B_I,B_F,suspicious,gate_fallback,q_true
17,random,6,5,Q071,random,0.030546466812906584,0.011079888445194336,10.677866357220285,0.9342661346499608,3.0,0.0,0.0,False,False,60955.0
17,random,7,1,Q035,random,0.3462875187691341,0.7151039611954004,11.20914917791365,3.081805073606947,3.0,0.0,0.0,False,False,50709.0
17,random,7,2,Q014,random,4.077923925624696e-12,1.9536252870412521e-13,10.098540130519174,0.3407130874229146,2.0,0.0,0.0,False,False,108381.0
17,random,7,3,Q024,random,0.26307066115412403,0.1517324037621325,11.824785637211185,0.9509200026441216,3.0,0.0,0.0,False,False,25579.0
17,random,7,4,Q003,random,0.09712229484867846,0.2128013642959623,6.384182876081029,4.655484384423182,7.0,1.0,0.0,True,False,0.0
17,random,7,5,Q081,random,0.24519231716920764,0.6475477939597456,9.355737537800731,4.453901336427808,11.0,0.0,0.0,False,False,0.0
17,random,8,1,Q059,random,0.048722893011134166,0.014157580610701263,11.270304404234109,0.69826299536958,1.0,0.0,0.0,False,False,128632.0
17,random,8,2,Q054,random,0.07583152878696162,0.03779123272567922,10.835518249457756,1.1104712344547463,2.0,0.0,0.0,False,False,100890.0
17,random,8,3,Q082,random,0.03581184855712901,0.053926845049644206,5.596508393669659,3.7918748244918956,8.0,0.0,1.0,True,False,0.0
17,random,8,4,Q046,random,0.12967281695779354,0.03571039671438481,11.80707361368739,0.5501246884732492,1.0,0.0,0.0,False,False,58386.0
17,random,8,5,Q047,random,0.29089765872188056,0.37662751058107086,11.291482374234084,2.062767260248022,2.0,0.0,0.0,False,False,7770.0
17,gp_m52_pi,1,1,Q054,exploitation,0.980526295285065,0.7889754629974917,12.847269994346714,0.38080386968954183,2.0,0.0,0.0,False,False,100890.0
17,gp_m52_pi,1,2,Q047,exploitation,0.9802221204789782,1.1759812586598815,13.23286109965462,0.569314355545254,5.0,0.0,0.0,False,False,7770.0
17,gp_m52_pi,1,3,Q068,exploitation,0.9732936138961675,1.698330665565106,13.750435170776623,0.8746398853718268,6.0,0.0,0.0,False,False,50021.0
17,gp_m52_pi,1,4,Q041,exploitation,0.9541472101502056,0.6342850448673624,12.688263885633901,0.37193439220036467,4.0,0.0,0.0,False,False,155410.0
17,gp_m52_pi,1,5,Q071,exploitation,0.9281128608739776,1.2927564641890914,13.32611569464738,0.8653980172784564,7.0,0.0,0.0,False,False,60955.0
17,gp_m52_pi,2,1,Q023,exploitation,0.4880594807485816,0.4170738145508423,12.028508012198497,1.085695570775748,3.0,0.0,0.0,False,False,130578.0
17,gp_m52_pi,2,2,Q017,exploitation,0.42338133245929244,0.350940728328345,11.8420542128744,1.1330051930411233,2.0,0.0,0.0,False,False,247107.0
17,gp_m52_pi,2,3,Q058,exploitation,0.3936186557813194,0.6894979237124212,11.392647280005225,2.476329512392145,5.0,0.0,0.0,False,False,60312.0
17,gp_m52_pi,2,4,Q022,exploitation,0.3637028601787352,0.48669879521490866,11.37870636348103,1.9573832564843778,3.0,0.0,0.0,False,False,114383.0
17,gp_m52_pi,2,5,Q024,exploitation,0.3342414595951044,0.40971103536805065,11.266599153309572,1.8550945314660436,3.0,0.0,0.0,False,False,25579.0
17,gp_m52_pi,3,1,Q029,exploitation,0.5508585198420747,0.8266570589073934,12.654290200878714,1.7735133062706219,2.0,0.0,0.0,False,False,119441.0
17,gp_m52_pi,3,2,Q008,exploitation,0.3270058657822025,0.6731895038019877,11.01935768772927,3.1419802991212835,8.0,0.0,1.0,True,False,0.0
17,gp_m52_pi,3,3,Q036,exploitation,0.31545997149533056,0.24570676680642994,11.848646855879117,1.2050267250761106,4.0,0.0,1.0,False,False,0.0
17,gp_m52_pi,3,4,Q006,exploitation,0.27669956041213484,0.4754622584237317,10.776675610046128,2.7855182185554686,7.0,0.0,0.0,False,False,2244.0
17,gp_m52_pi,3,5,Q019,exploitation,0.27508164419543313,0.5830783450327204,10.370375438436966,3.442932387097073,7.0,0.0,0.0,False,False,84493.0
17,gp_m52_pi,4,1,Q066,exploitation,0.4601943196060258,0.45566134822615867,12.297820768668858,1.2983246732389617,3.0,0.0,0.0,False,False,82233.0
17,gp_m52_pi,4,2,Q046,exploitation,0.3538210145357351,0.0829827021507753,12.297456278864217,0.3469756962861479,3.0,0.0,0.0,False,False,58386.0
17,gp_m52_pi,4,3,Q072,exploitation,0.35299899360433756,0.531673891240414,11.586201264153978,2.2303777395679054,4.0,0.0,0.0,False,False,57726.0
17,gp_m52_pi,4,4,Q093,exploitation,0.2933103988382021,1.1401309972246034,9.069971333489384,6.175033984446818,47.0,0.0,1.0,True,False,0.0
17,gp_m52_pi,4,5,Q090,exploitation,0.2714221249095692,1.0127871641711848,8.722722680541564,6.0883336944649225,38.0,0.0,0.0,False,False,0.0
17,gp_m52_pi,5,1,Q051,exploitation,0.168973615913259,0.14365621872355194,10.900732357799473,1.5934063816643993,7.0,0.0,0.0,False,False,873.0
17,gp_m52_pi,5,2,Q074,exploitation,0.1575477593443707,0.11956906454685318,10.973199810846817,1.4477394512177144,3.0,0.0,0.0,False,False,34285.0
17,gp_m52_pi,5,3,Q018,exploitation,0.15107559045748287,0.032097043389458194,12.005075540520894,0.4094712481484125,2.0,0.0,0.0,False,False,207261.0
17,gp_m52_pi,5,4,Q043,exploitation,0.14845061417043753,0.08375421261853006,11.288524284612866,1.0919899418025345,1.0,0.0,0.0,False,False,1379.0
17,gp_m52_pi,5,5,Q052,exploitation,0.1449693224915154,0.04703449658209588,11.759245716542148,0.6315436995899566,2.0,0.0,0.0,False,False,81273.0
17,gp_m52_pi,6,1,Q013,exploitation,0.1370241079881273,0.06500586937788266,11.404029214169709,0.9357865337547399,4.0,0.0,0.0,False,False,2639.0
17,gp_m52_pi,6,2,Q003,exploitation,0.10773979058506278,0.26671236889922245,6.049862745338246,5.148976469144848,7.0,1.0,0.0,True,False,0.0
