split_seed,method,method_label,round,n_initial_train,n_acquired,n_train_total,n_pool_remaining,n_test,catastrophic_threshold,n_catastrophic_errors,catastrophic_error_rate,mean_abs_log_error,median_abs_log_error,max_abs_log_error,rmse_log_error,signed_log_error_mean,gate_fallback_count
5,gp_m52_ei,GP M52 + EI,6,40,30,70,5,20,1.0,9,0.45,2.59254439145943,0.6768905455570611,10.380994213509265,4.207345538886306,-2.546094544540305,0
5,gp_m52_ei,GP M52 + EI,7,40,35,75,0,20,1.0,8,0.4,2.291432097294126,0.585551628329755,10.380994213509265,3.929773618000296,-2.17353896694313,0
5,pi_random_exploration,GP M52 PI + Random Exploration,0,40,0,40,35,20,1.0,8,0.4,2.3805634497292716,0.8535804420898625,10.380994213509265,3.897358188487214,-1.3958994107095362,0
5,pi_random_exploration,GP M52 PI + Random Exploration,1,40,5,45,30,20,1.0,8,0.4,2.295072010564415,0.7311377532968377,10.380994213509265,3.85141184864584,-2.202150282047609,0
5,pi_random_exploration,GP M52 PI + Random Exploration,2,40,10,50,25,20,1.0,9,0.45,2.6867536387715885,0.8703953927159631,10.380994213509265,4.246129145628877,-2.6743813180986056,0
5,pi_random_exploration,GP M52 PI + Random Exploration,3,40,15,55,20,20,1.0,9,0.45,2.6253126517789096,0.6423698709182935,10.380994213509265,4.233038678863825,-2.5790409615571894,0
5,pi_random_exploration,GP M52 PI + Random Exploration,4,40,20,60,15,20,1.0,9,0.45,2.5602285656122667,0.5781642122414326,10.380994213509265,4.197454680349326,-2.4830538137697196,0
5,pi_random_exploration,GP M52 PI + Random Exploration,5,40,25,65,10,20,1.0,9,0.45,2.6146954708030545,0.665131977348234,10.380994213509265,4.214912920422064,-2.5444092297861074,0
5,pi_random_exploration,GP M52 PI + Random Exploration,6,40,30,70,5,20,1.0,9,0.45,2.583662745669503,0.6349337139552382,10.380994213509265,4.207242012913183,-2.553516588820231,0
5,pi_random_exploration,GP M52 PI + Random Exploration,7,40,35,75,0,20,1.0,8,0.4,2.291432097294126,0.585551628329755,10.380994213509265,3.929773618000296,-2.17353896694313,0
5,pi_uncertainty,PI + Uncertainty,0,40,0,40,35,20,1.0,8,0.4,2.3805634497292716,0.8535804420898625,10.380994213509265,3.897358188487214,-1.3958994107095362,0
5,pi_uncertainty,PI + Uncertainty,1,40,5,45,30,20,1.0,9,0.45,2.3222380130810873,0.7875143574507124,10.380994213509265,3.875021511922851,-1.3979611546933426,0
5,pi_uncertainty,PI + Uncertainty,2,40,10,50,25,20,1.0,8,0.4,2.2206092751505375,0.731147411712687,10.380994213509265,3.865994640335307,-1.1744482443836592,0
5,pi_uncertainty,PI + Uncertainty,3,40,15,55,20,20,1.0,7,0.35,2.174070176231769,0.5693421083488035,10.380994213509265,3.8483191632310794,-1.1852046509266692,0
5,pi_uncertainty,PI + Uncertainty,4,40,20,60,15,20,1.0,9,0.45,2.577144187852487,0.6587834354534623,10.380994213509265,4.2008548234367495,-2.5388143312233704,0
5,pi_uncertainty,PI + Uncertainty,5,40,25,65,10,20,1.0,9,0.45,2.6312850887726187,0.6288902283003015,10.380994213509265,4.228563145124651,-2.589408020054977,0
5,pi_uncertainty,PI + Uncertainty,6,40,30,70,5,20,1.0,9,0.45,2.59254439145943,0.6768905455570611,10.380994213509265,4.207345538886306,-2.546094544540305,0
5,pi_uncertainty,PI + Uncertainty,7,40,35,75,0,20,1.0,8,0.4,2.291432097294126,0.585551628329755,10.380994213509265,3.929773618000296,-2.17353896694313,0
5,imperfection_aware,Imperfection-aware,0,40,0,40,35,20,1.0,8,0.4,2.3805634497292716,0.8535804420898625,10.380994213509265,3.897358188487214,-1.3958994107095362,0
5,imperfection_aware,Imperfection-aware,1,40,5,45,30,20,1.0,9,0.45,2.3222380130810873,0.7875143574507124,10.380994213509265,3.875021511922851,-1.3979611546933426,0
5,imperfection_aware,Imperfection-aware,2,40,10,50,25,20,1.0,8,0.4,2.5272903418458244,0.7768220455328869,10.380994213509265,4.177759884391313,-2.4997664624650286,0
5,imperfection_aware,Imperfection-aware,3,40,15,55,20,20,1.0,7,0.35,2.17450892096607,0.5427374304075148,10.380994213509265,3.8585975069252823,-1.1712938007998284,0
5,imperfection_aware,Imperfection-aware,4,40,20,60,15,20,1.0,9,0.45,2.5918664373081883,0.609689235675102,10.380994213509265,4.2151700902901466,-2.5869825467472656,0
5,imperfection_aware,Imperfection-aware,5,40,25,65,10,20,1.0,9,0.45,2.626121750593192,0.6412023815469983,10.380994213509265,4.2280592366522445,-2.599666107410289,0
5,imperfection_aware,Imperfection-aware,6,40,30,70,5,20,1.0,9,0.45,2.569467988154334,0.692248192061931,10.380994213509265,4.199611260347852,-2.5483719921225796,1
5,imperfection_aware,Imperfection-aware,7,40,35,75,0,20,1.0,8,0.4,2.291432097294126,0.585551628329755,10.380994213509265,3.929773618000296,-2.17353896694313,2
6,random,Random,0,40,0,40,35,20,1.0,7,0.35,2.716704328567016,0.3256560726283961,10.856476588192956,4.695855598057804,-2.5918333797563604,0
6,random,Random,1,40,5,45,30,20,1.0,7,0.35,2.7338986690741818,0.3986619460532425,10.856476588192956,4.694767127092185,-2.582918344944129,0
6,random,Random,2,40,10,50,25,20,1.0,7,0.35,2.729873175227439,0.4301480939288762,10.856476588192956,4.693792034635855,-2.585905116221748,0
6,random,Random,3,40,15,55,20,20,1.0,7,0.35,2.663241289210595,0.3783045147638493,10.856476588192956,4.6726498749539305,-2.485470068751154,0
6,random,Random,4,40,20,60,15,20,1.0,6,0.3,2.279319692780862,0.3299889824333917,10.856476588192956,4.330042411726698,-2.1393109310469005,0
6,random,Random,5,40,25,65,10,20,1.0,7,0.35,2.6496229704727097,0.35153211057938,10.856476588192956,4.670966942159666,-2.509737404573088,0
6,random,Random,6,40,30,70,5,20,1.0,7,0.35,2.6953820749642015,0.3463106830706213,10.856476588192956,4.6798854043717615,-2.590748037561603,0
6,random,Random,7,40,35,75,0,20,1.0,7,0.35,2.7234935627685943,0.4609884441271399,10.856476588192956,4.6877688816285605,-2.60026682994047,0
6,gp_m52_pi,GP M52 + PI,0,40,0,40,35,20,1.0,7,0.35,2.716704328567016,0.3256560726283961,10.856476588192956,4.695855598057804,-2.5918333797563604,0
6,gp_m52_pi,GP M52 + PI,1,40,5,45,30,20,1.0,7,0.35,2.714097917406619,0.305255985372006,10.856476588192956,4.690754568476702,-2.5679156035517483,0
6,gp_m52_pi,GP M52 + PI,2,40,10,50,25,20,1.0,7,0.35,3.112235473496445,0.2527463568553401,10.856476588192956,5.217079585335798,-2.976110906067058,0
6,gp_m52_pi,GP M52 + PI,3,40,15,55,20,20,1.0,7,0.35,2.7296068062724315,0.5391486721516712,10.856476588192956,4.691608581099992,-2.600640197122083,0
6,gp_m52_pi,GP M52 + PI,4,40,20,60,15,20,1.0,7,0.35,2.7157148836906178,0.4940002711387077,10.856476588192956,4.685654156115969,-2.5783746294689527,0
6,gp_m52_pi,GP M52 + PI,5,40,25,65,10,20,1.0,6,0.3,2.3164342817134314,0.2795002075054817,10.856476588192956,4.339786788412887,-2.197630848877896,0
6,gp_m52_pi,GP M52 + PI,6,40,30,70,5,20,1.0,6,0.3,2.341019842863415,0.3351477385325569,10.856476588192956,4.349968662995382,-2.2386192554947204,0
6,gp_m52_pi,GP M52 + PI,7,40,35,75,0,20,1.0,7,0.35,2.7234935627685943,0.4609884441271399,10.856476588192956,4.6877688816285605,-2.60026682994047,0
6,gp_m52_ei,GP M52 + EI,0,40,0,40,35,20,1.0,7,0.35,2.716704328567016,0.3256560726283961,10.856476588192956,4.695855598057804,-2.5918333797563604,0
6,gp_m52_ei,GP M52 + EI,1,40,5,45,30,20,1.0,7,0.35,2.688860942287481,0.3349448209633072,10.856476588192956,4.675302562830997,-2.547958753845506,0
