$ /opt/anaconda3/envs/actmof/bin/python /Users/lizeyuan/Desktop/Research/Nips-Workshop/actmof_workshop/my_scripts/lucien/2026-08-19/experiment_a/run_experiment_a.py --n-rounds 5 --budget 150 --batch-size 5 --exploration 1 --policy imperfection_aware --results-base-dir /Users/lizeyuan/Desktop/Research/Nips-Workshop/actmof_workshop/results/lucien/2026-08-20/experiment_a

[CONFIG] runs=5 batch_size=5 budget=150 exploration_slots=1 policy=imperfection_aware method=GP_Matern52_PI_GATE_4T1S
[PASS] Gate metadata feature order matches all 6,101,172 benchmark pool rows.
[OUTPUT] Writing run outputs to /Users/lizeyuan/Desktop/Research/Nips-Workshop/actmof_workshop/results/lucien/2026-08-20/experiment_a/imperfection_aware/n_rounds_5/budget_150/batch_size_5/exploration_1
[GP_Matern52_PI_GATE_4T1S run 4] iter=11 n=58 best_q=40061
[GP_Matern52_PI_GATE_4T1S run 4] iter=12 n=63 best_q=73064
[GP_Matern52_PI_GATE_4T1S run 4] iter=13 n=68 best_q=122395
[GP_Matern52_PI_GATE_4T1S run 4] iter=14 n=73 best_q=122395
[GP_Matern52_PI_GATE_4T1S run 4] iter=15 n=78 best_q=122395
[GP_Matern52_PI_GATE_4T1S run 4] iter=16 n=83 best_q=122395
[GP_Matern52_PI_GATE_4T1S run 4] iter=17 n=88 best_q=122395
[GP_Matern52_PI_GATE_4T1S run 4] iter=18 n=93 best_q=122395
[GP_Matern52_PI_GATE_4T1S run 4] iter=19 n=98 best_q=122395
[GP_Matern52_PI_GATE_4T1S run 4] iter=20 n=103 best_q=122395
[GP_Matern52_PI_GATE_4T1S run 4] iter=21 n=108 best_q=122395
[GP_Matern52_PI_GATE_4T1S run 4] iter=22 n=113 best_q=122395
[GP_Matern52_PI_GATE_4T1S run 4] iter=23 n=118 best_q=122395
[GP_Matern52_PI_GATE_4T1S run 4] iter=24 n=123 best_q=122395
[GP_Matern52_PI_GATE_4T1S run 4] iter=25 n=128 best_q=122395
[GP_Matern52_PI_GATE_4T1S run 4] iter=26 n=133 best_q=122395
[GP_Matern52_PI_GATE_4T1S run 4] iter=27 n=138 best_q=122395
[GP_Matern52_PI_GATE_4T1S run 4] iter=28 n=143 best_q=122395
[GP_Matern52_PI_GATE_4T1S run 4] iter=29 n=148 best_q=122395
[GP_Matern52_PI_GATE_4T1S run 4] iter=30 n=150 best_q=122395

Experiment A

Policy: imperfection_aware
Method: GP_Matern52_PI_GATE_4T1S
Run 1   final q 182263
Run 2   final q 189068
Run 3   final q 155982
Run 4   final q 218753
Run 5   final q 122395
Mean +/- SD: 173692.2 +/- 36350.4
Total policy fallbacks: 0
Fraction of policy iterations requiring fallback: 0.000000
[SEED] replicate seed formula: RANDOM_STATE + 10000*run + stable_int(GP_Matern52_PI)

$ /opt/anaconda3/envs/actmof/bin/python /Users/lizeyuan/Desktop/Research/Nips-Workshop/actmof_workshop/my_scripts/lucien/2026-08-19/experiment_a/plot_experiment_a.py --results-dir /Users/lizeyuan/Desktop/Research/Nips-Workshop/actmof_workshop/results/lucien/2026-08-20/experiment_a/imperfection_aware/n_rounds_5/budget_150/batch_size_5/exploration_1 --figure-dir /Users/lizeyuan/Desktop/Research/Nips-Workshop/actmof_workshop/figures/lucien/2026-08-20/experiment_a/imperfection_aware/n_rounds_5/budget_150/batch_size_5/exploration_1

Read metrics from /Users/lizeyuan/Desktop/Research/Nips-Workshop/actmof_workshop/results/lucien/2026-08-20/experiment_a/imperfection_aware/n_rounds_5/budget_150/batch_size_5/exploration_1
Saved figures to /Users/lizeyuan/Desktop/Research/Nips-Workshop/actmof_workshop/figures/lucien/2026-08-20/experiment_a/imperfection_aware/n_rounds_5/budget_150/batch_size_5/exploration_1
