experiment_id,metal_amount,modulator,add_solvent,reaction_time,reaction_temperature,Intensity_exp,FWHM_exp,q_true,q_pred_mean,intensity_pred_mean,fwhm_pred_mean,rf_intensity_variance,rf_fwhm_variance,nearest_chebyshev_distance,rule1_neighbor_count,rule2_neighbor_count,rule_applied,intensity_3000_cross_rate,fwhm_3_cross_rate,y_abs_error,y_log_abs_error,row_idx,catastrophic,n_feature_outliers,mahalanobis_d2
Q001,5,5,0,1,30,1457.0,0.32,4553,0.0,3684.2,30.0,19403494.729528747,212.255640452125,7.0,0,0,0,0.0,1.0,4553.0,8.423761246623686,1,True,2,10.679946295178631
Q002,5,7,21,12,20,0.0,30.0,0,0.0,0.0,30.0,30423934.02863375,216.60626573762505,5.0,0,0,0,1.0,0.0,0.0,0.0,2,False,1,7.561760616285721
Q003,5,15,0,1,30,0.0,30.0,0,0.0,0.0,30.0,1882948.13349375,169.904210075125,7.0,0,0,0,1.0,0.0,0.0,0.0,3,False,0,12.89101625676182
Q004,5,15,2,11,16,0.0,30.0,0,0.0,0.0,30.0,11469931.799475,22.712026245750003,7.0,0,0,0,1.0,0.0,0.0,0.0,4,False,0,3.080786408706306
Q005,6,5,29,11,27,7575.0,0.18,42083,0.0,6130.6,30.0,128744930.0927325,212.60442581075,7.0,0,0,0,0.0,1.0,42083.0,10.64742289992818,5,True,3,10.488635578819457
Q006,6,6,12,11,20,1077.0,0.48,2244,0.0,3539.0,30.0,37181787.79428625,210.39832064350003,4.0,0,0,0,0.0,1.0,2244.0,7.716460800176355,6,True,2,9.266264466525842
Q007,6,6,19,12,30,0.0,30.0,0,0.0,4920.6,30.0,93455976.65550126,96.978024617625,6.0,0,0,0,0.0,1.0,0.0,0.0,7,False,1,7.895163754195502
Q008,7,6,20,11,15,0.0,30.0,0,0.0,0.0,30.0,10050592.3806875,66.82221017699999,5.0,0,0,0,1.0,0.0,0.0,0.0,8,False,0,4.992347142471727
Q009,9,6,1,12,19,1318.0,0.4,3295,0.0,4826.6,30.0,57602322.515952505,165.56060184474998,5.0,0,0,0,0.0,1.0,3295.0,8.100464891029363,9,True,1,7.058671978949955
Q010,9,8,13,7,20,0.0,30.0,0,0.0,0.0,30.0,11824207.27839375,15.722298901124995,4.0,0,0,0,1.0,0.0,0.0,0.0,10,False,0,7.664120361964324
Q011,9,14,7,4,11,182.0,30.0,0,0.0,0.0,30.0,5108096.40412125,19.128162257250004,7.0,0,0,0,1.0,0.0,0.0,0.0,11,False,0,4.687643791024882
Q012,10,7,0,12,24,688.0,0.6,1147,1611.6,6706.2,13.52,70497647.73547626,68.85301269649999,5.0,0,0,0,0.0,0.4,1382.2,3.3252500830423166,12,False,1,3.395850314290072
Q013,10,7,13,12,29,1082.0,0.41,2639,0.0,8033.6,30.0,153596351.52712625,118.564061709875,4.0,0,0,0,0.0,1.0,2639.0,7.878534196140362,13,True,2,9.923356940925423
Q014,11,7,12,11,24,28179.0,0.26,108381,39681.2,15782.2,0.406,87064387.67382249,3.5029033231249995,2.0,0,3,2,0.0,0.0,68699.8,1.0143752664867016,14,False,0,4.0687688461154465
Q015,12,8,10,11,18,7305.0,0.15,48700,3760.8,7363.4,1.98,20287268.761553757,68.10118172924999,2.0,0,1,2,0.0,0.0,44939.2,2.566719623719651,15,False,0,11.137482145660542
Q016,12,9,1,7,29,785.0,2.2,357,0.0,5047.6,30.0,37425673.8342575,65.021164972625,5.0,0,0,0,0.0,1.0,357.0,5.8805329864007,16,True,1,7.761310200888332
Q017,13,5,10,11,24,34595.0,0.14,247107,106067.2,23537.6,0.222,52090602.748575,0.00169910775,2.0,0,4,2,0.0,0.0,141039.8,0.846024257230096,17,False,1,6.165515100971381
Q018,13,6,13,11,24,37307.0,0.18,207261,104582.4,26145.6,0.25,36168908.1059675,0.0016351657499999,2.0,0,7,2,0.0,0.0,102678.6,0.6840118397795137,18,False,1,25.219722032179746
Q019,13,6,25,12,24,23658.0,0.28,84493,114560.2,31382.6,0.274,69447098.46374875,0.003701227375,2.0,0,1,2,0.0,0.0,30067.2,0.3043464091248588,19,False,0,2.724119437010226
Q020,13,7,10,12,25,24240.0,0.24,101000,117006.2,26911.4,0.23,45761288.38776875,0.002167655125,2.0,0,3,2,0.0,0.0,16006.2,0.1470871357322668,20,False,0,3.2949432311248033
Q021,13,7,11,11,23,17558.0,0.26,67531,129292.0,28444.2,0.22,43064720.64282375,0.001525008625,2.0,0,4,2,0.0,0.0,61761.0,0.6494527662210092,21,False,1,6.236985336368768
Q022,13,7,15,12,25,27452.0,0.24,114383,112760.8,29317.8,0.26,25542384.762161247,0.0011297117499999,1.0,2,2,1,0.0,0.0,1622.2,0.0142850856676357,22,False,1,8.041990905887836
Q023,14,6,15,12,26,30033.0,0.23,130578,108447.0,28196.2,0.26,72778310.23844875,0.0019317509999999,1.0,2,2,1,0.0,0.0,22131.0,0.1857096590171913,23,False,1,8.423848412589722
Q024,14,7,7,11,26,7418.0,0.29,25579,93363.8,20540.0,0.22,62693347.40513625,0.0014298167499999,2.0,0,1,2,0.0,0.0,67784.8,1.29466703017038,24,False,0,2.596297461966079
Q025,14,7,11,11,20,12434.0,0.24,51808,20383.2,9658.8,0.474,77635712.96591374,2.64741250625,1.0,2,4,1,0.0,0.0,31424.8,0.9329514633025034,25,False,2,12.55863546471528
Q026,14,7,15,11,26,28764.0,0.29,99186,116373.2,27929.6,0.24,77890694.6341425,0.0010107116249999,1.0,2,2,1,0.0,0.0,17187.2,0.1597975181668875,26,False,1,8.64890030441131
Q027,14,12,2,11,15,0.0,30.0,0,0.0,0.0,30.0,19695831.407493748,32.7870625,6.0,0,0,0,1.0,0.0,0.0,0.0,27,False,0,3.7613281346278846
Q028,15,5,0,12,24,15489.0,0.28,55318,71696.0,17185.2,0.24,85124736.99631874,0.041812847125,4.0,0,0,0,0.0,0.0,16378.0,0.2579992044924708,28,False,0,6.187075371484496
