method,method_label,round,catastrophic_error_rate_mean,catastrophic_error_rate_std,catastrophic_error_rate_sem,n_catastrophic_errors_mean,n_catastrophic_errors_std,n_catastrophic_errors_sem,mean_abs_log_error_mean,mean_abs_log_error_std,mean_abs_log_error_sem,median_abs_log_error_mean,median_abs_log_error_std,median_abs_log_error_sem,max_abs_log_error_mean,max_abs_log_error_std,max_abs_log_error_sem,rmse_log_error_mean,rmse_log_error_std,rmse_log_error_sem,signed_log_error_mean_mean,signed_log_error_mean_std,signed_log_error_mean_sem,gate_fallback_count_mean,gate_fallback_count_max,catastrophic_error_rate_ci95_low,catastrophic_error_rate_ci95_high,n_catastrophic_errors_ci95_low,n_catastrophic_errors_ci95_high,mean_abs_log_error_ci95_low,mean_abs_log_error_ci95_high,median_abs_log_error_ci95_low,median_abs_log_error_ci95_high,max_abs_log_error_ci95_low,max_abs_log_error_ci95_high,rmse_log_error_ci95_low,rmse_log_error_ci95_high,signed_log_error_mean_ci95_low,signed_log_error_mean_ci95_high,error_auc_mean,error_auc_std,error_auc_sem,error_auc_ci95_low,error_auc_ci95_high
gp_m52_pi,GP M52 + PI,6,0.2975,0.120825014837683,0.02701729465594799,5.95,2.4165002967536604,0.5403458931189596,1.7107896621506622,0.6654502162004295,0.1487991919066092,0.37946619118690766,0.2046453278422116,0.04576008643329155,9.50192865627765,2.3565579979967697,0.526942387644159,3.3106808952976428,1.0974158080374945,0.24538963463546976,-1.2150158753365174,0.8156369990376843,0.1823819774812193,0.0,0,0.24454610247434194,0.35045389752565803,4.890922049486839,7.009077950513161,1.4191432460137081,2.0024360782876163,0.2897764217776562,0.4691559605961591,8.469121576495098,10.534735736060203,2.829717211412122,3.7916445791831634,-1.5724845511997072,-0.8575471994733277,0.3117857142857143,0.11874014176955641,0.026551102865469023,0.259745552669395,0.3638258759020336
gp_m52_pi,GP M52 + PI,7,0.2875,0.1255252123972249,0.028068290781029417,5.75,2.5105042479444974,0.5613658156205884,1.5870839548389455,0.7380469395309631,0.16503231273769103,0.37866845014786465,0.20490666409173613,0.04581852299518373,9.020529151901567,2.9018104364785837,0.6488645393784448,3.069152337031568,1.2612677920349997,0.28202805208213283,-1.1227354765947535,0.7636902006213282,0.1707663202339742,0.0,0,0.23248615006918233,0.3425138499308176,4.649723001383647,6.850276998616353,1.263620621873071,1.91054728780482,0.28886414507730457,0.46847275521842474,7.748754654719815,10.292303649083319,2.5163773549505875,3.6219273191125483,-1.457437464253343,-0.788033488936164,0.3117857142857143,0.11874014176955641,0.026551102865469023,0.259745552669395,0.3638258759020336
gp_m52_ei,GP M52 + EI,0,0.3525,0.13999530067300942,0.031303900883537114,7.05,2.799906013460189,0.6260780176707422,2.2094630891815354,1.0111683996329472,0.22610412782789432,0.7036535487072457,0.9796169446686253,0.2190490080189696,10.412960757449493,2.1006618084914166,0.4697222601524451,3.9182659033551444,1.2857344465157845,0.2874989623422362,-1.5541595852012489,1.2738476661624027,0.28484099745185903,0.0,0,0.29114435426826724,0.4138556457317327,5.822887085365345,8.277112914634655,1.7662989986388626,2.6526271797242083,0.2743174929900653,1.132989604424426,9.4923051275507,11.333616387348286,3.3547679371643615,4.481763869545928,-2.1124479402068923,-0.9958712301956052,0.31285714285714283,0.1159326816777227,0.025923335704523237,0.2620474048762773,0.36366688083800836
gp_m52_ei,GP M52 + EI,1,0.335,0.12886141066236526,0.02881428739175649,6.7,2.5772282132473046,0.5762857478351298,2.154061918786657,0.9567375222611821,0.21393301364007214,0.5465815763521349,0.5732066205837877,0.12817289687782796,10.23922844731019,2.3983257003953113,0.5362819298268711,3.88474739093582,1.317368040837778,0.2945724490698991,-1.5588475217503195,1.1980762432702692,0.26789799221798966,0.0,0,0.27852399671215733,0.3914760032878427,5.570479934243146,7.829520065756855,1.7347532120521156,2.5733706255211986,0.2953626984715921,0.7978004542326778,9.188115864849522,11.290341029770858,3.3073853907588178,4.462109391112822,-2.0839275864975795,-1.0337674570030597,0.31285714285714283,0.1159326816777227,0.025923335704523237,0.2620474048762773,0.36366688083800836
gp_m52_ei,GP M52 + EI,2,0.335,0.1396424004376894,0.03122498999199199,6.7,2.792848008753788,0.6244997998398398,2.0227355862035123,0.9670212419550589,0.21623252326977832,0.4941955117188903,0.5598872759312533,0.12519460087194642,9.842351917087523,2.887176880643903,0.6455923768185561,3.677183983285127,1.3949518110319263,0.3119207074803828,-1.4357240122964134,1.1722798001665609,0.2621297321822299,0.0,0,0.27379901961569575,0.3962009803843043,5.4759803923139145,7.924019607686086,1.598919840594747,2.446551331812278,0.24881409400987534,0.7395769294279053,8.576990858523153,11.107712975651893,3.065819396623577,4.288548569946677,-1.949498287373584,-0.9219497372192429,0.31285714285714283,0.1159326816777227,0.025923335704523237,0.2620474048762773,0.36366688083800836
gp_m52_ei,GP M52 + EI,3,0.305,0.10748316881701697,0.02403396719119356,6.1,2.1496633763403397,0.4806793438238711,1.7251050514223354,0.7130088355865847,0.15943362249295748,0.34853448112199653,0.2321040837965449,0.05190005092243818,9.133091391191378,3.136401087000517,0.7013206035237387,3.277310227863327,1.289117715877667,0.28825548437017234,-1.1068577769848518,0.8881785169274891,0.1986027540004813,0.0,0,0.25789342430526063,0.35210657569473935,5.157868486105213,7.042131513894787,1.4126151513361387,2.037594951508532,0.24681038131401772,0.45025858092997534,7.75850300828485,10.507679774097905,2.712329478497789,3.8422909772288647,-1.4961191748257952,-0.7175963791439084,0.31285714285714283,0.1159326816777227,0.025923335704523237,0.2620474048762773,0.36366688083800836
gp_m52_ei,GP M52 + EI,4,0.315,0.1193182387787515,0.026680369286483985,6.3,2.38636477557503,0.5336073857296797,1.6741397047413642,0.7155216044891651,0.1599954947007492,0.38912478226137376,0.26154929683004974,0.05848420071792614,9.35542459128253,2.4555606824668326,0.5490800608871613,3.181331155735072,1.1583308045909249,0.25901064194973333,-1.1347041814224614,0.8656675565664138,0.19356915023986457,0.0,0,0.2627064761984914,0.3672935238015086,5.254129523969827,7.345870476030172,1.3605485351278959,1.9877308743548325,0.27449574885423855,0.503753815668509,8.279227671943694,10.431621510621365,2.6736702975135946,3.6889920139565495,-1.514099715892596,-0.7553086469523269,0.31285714285714283,0.1159326816777227,0.025923335704523237,0.2620474048762773,0.36366688083800836
gp_m52_ei,GP M52 + EI,5,0.3125,0.1346291201783626,0.030103986446980736,6.25,2.692582403567252,0.6020797289396147,1.700312904093495,0.8276758616569072,0.18507394900005558,0.4182372304392799,0.3659381739215428,0.08182626324507104,9.47908876863916,2.358830830130553,0.5274506083594175,3.222732119825102,1.201357120768103,0.26863161872909025,-1.2079265460018873,0.8086014406877716,0.18080877880821217,0.0,0,0.25349618656391776,0.37150381343608224,5.069923731278355,7.430076268721645,1.337567964053386,2.063057844133604,0.25785775447894066,0.5786167063996192,8.445285576254703,10.512891961023618,2.696214147116085,3.749250092534119,-1.562311752465983,-0.8535413395377915,0.31285714285714283,0.1159326816777227,0.025923335704523237,0.2620474048762773,0.36366688083800836
gp_m52_ei,GP M52 + EI,6,0.3,0.13278395591097752,0.029691395173828076,6.0,2.6556791182195503,0.5938279034765614,1.6437522723993108,0.8058653611479107,0.18019697282391464,0.3954662800946826,0.22466284724853322,0.0502361398466372,8.963746589431238,3.118896013357815,0.6974063500621166,3.123201211524072,1.3406971508212648,0.2997889966476637,-1.1353324906236344,0.9408983865916328,0.21039127523387677,0.0,0,0.24180486545929697,0.358195134540703,4.83609730918594,7.16390269081406,1.290566205664438,1.9969383391341835,0.2970034459952737,0.4939291141940915,7.59683014330949,10.330663035552988,2.535614778094651,3.7107876449534927,-1.5476993900820328,-0.722965591165236,0.31285714285714283,0.1159326816777227,0.025923335704523237,0.2620474048762773,0.36366688083800836
gp_m52_ei,GP M52 + EI,7,0.2875,0.1255252123972249,0.028068290781029417,5.75,2.5105042479444974,0.5613658156205884,1.5870839548389455,0.7380469395309631,0.16503231273769103,0.37866845014786465,0.20490666409173613,0.04581852299518373,9.020529151901567,2.9018104364785837,0.6488645393784448,3.069152337031568,1.2612677920349997,0.28202805208213283,-1.1227354765947535,0.7636902006213282,0.1707663202339742,0.0,0,0.23248615006918233,0.3425138499308176,4.649723001383647,6.850276998616353,1.263620621873071,1.91054728780482,0.28886414507730457,0.46847275521842474,7.748754654719815,10.292303649083319,2.5163773549505875,3.6219273191125483,-1.457437464253343,-0.788033488936164,0.31285714285714283,0.1159326816777227,0.025923335704523237,0.2620474048762773,0.36366688083800836
pi_random_exploration,GP M52 PI + Random Exploration,0,0.3525,0.13999530067300942,0.031303900883537114,7.05,2.799906013460189,0.6260780176707422,2.2094630891815354,1.0111683996329472,0.22610412782789432,0.7036535487072457,0.9796169446686253,0.2190490080189696,10.412960757449493,2.1006618084914166,0.4697222601524451,3.9182659033551444,1.2857344465157845,0.2874989623422362,-1.5541595852012489,1.2738476661624027,0.28484099745185903,0.0,0,0.29114435426826724,0.4138556457317327,5.822887085365345,8.277112914634655,1.7662989986388626,2.6526271797242083,0.2743174929900653,1.132989604424426,9.4923051275507,11.333616387348286,3.3547679371643615,4.481763869545928,-2.1124479402068923,-0.9958712301956052,0.30357142857142855,0.1168991596797624,0.026139446755655125,0.25233811293034447,0.3548047442125126
pi_random_exploration,GP M52 PI + Random Exploration,1,0.3325,0.12489469248341302,0.02792730224218436,6.65,2.497893849668261,0.5585460448436873,1.8881779308757196,0.6474883828518038,0.14478280386980422,0.5127220871044227,0.3042812209003108,0.06803934942097246,10.264873735408505,2.0958723486349102,0.46865130437097974,3.540509616910559,0.9620176010253603,0.2151136751443977,-1.2940799135253802,0.9258131845669176,0.2070181215157187,0.0,0,0.2777624876053187,0.38723751239468135,5.5552497521063735,7.744750247893627,1.6044036352909035,2.1719522264605358,0.37936496223931665,0.6460792119695287,9.346317178841385,11.183430291975625,3.11888681362754,3.9621324201935786,-1.6998354316961888,-0.8883243953545716,0.30357142857142855,0.1168991596797624,0.026139446755655125,0.25233811293034447,0.3548047442125126
pi_random_exploration,GP M52 PI + Random Exploration,2,0.3075,0.13305618124845256,0.029752266609807274,6.15,2.661123624969051,0.5950453321961454,1.937807994508502,0.9439036529434761,0.21106327321919818,0.45291983706300776,0.29145475926542325,0.06517126540833232,9.776521868618932,2.8593251222055436,0.6393645343024488,3.56586798706495,1.3855417474120573,0.30981655328772034,-1.311109151982833,1.1256416984622932,0.2517011356070008,0.0,0,0.24918555744477774,0.3658144425552223,4.983711148895555,7.316288851104446,1.5241239789988736,2.3514920100181307,0.32518415686267643,0.5806555172633391,8.523367381386132,11.029676355851732,2.9586275426210182,4.173108431508882,-1.8044433777725546,-0.8177749261931115,0.30357142857142855,0.1168991596797624,0.026139446755655125,0.25233811293034447,0.3548047442125126
pi_random_exploration,GP M52 PI + Random Exploration,3,0.3125,0.11795962734855737,0.02637657453519176,6.25,2.3591925469711477,0.5275314907038352,1.8066717919698363,0.7319664855881074,0.16367268190266285,0.387750705188862,0.20629837525982986,0.04612971907287404,9.68278635312448,2.121447193032963,0.4743700134297823,3.4170482437805765,1.1123023485499997,0.24871836628904637,-1.2234684502353157,0.925951232650545,0.20704899000563415,0.0,0,0.26080191391102414,0.36419808608897586,5.216038278220483,7.283961721779517,1.485873335440617,2.1274702484990553,0.2973364558060289,0.4781649545716951,8.753021126802107,10.612551579446855,2.9295602458540455,3.9045362417071074,-1.6292844706463585,-0.8176524298242728,0.30357142857142855,0.1168991596797624,0.026139446755655125,0.25233811293034447,0.3548047442125126
pi_random_exploration,GP M52 PI + Random Exploration,4,0.305,0.11343906316887309,0.02536574565494929,6.1,2.2687812633774613,0.5073149130989858,1.728345931373747,0.7232408691333094,0.1617215747488109,0.36121106470065295,0.18711484437114437,0.04184015116131727,9.431140420132463,2.342163462821206,0.5237236717284517,3.319012514711609,1.1762291408629628,0.2630128316085761,-1.151799572167715,0.8333254538528693,0.18633723621958795,0.0,0,0.25528313851629936,0.35471686148370063,5.105662770325988,7.094337229674012,1.4113716448660776,2.0453202178814163,0.2792043684244711,0.4432177609768348,8.404642023544698,10.457638816720229,2.8035073647588,3.8345176646644186,-1.5170205551581073,-0.7865785891773227,0.30357142857142855,0.1168991596797624,0.026139446755655125,0.25233811293034447,0.3548047442125126
pi_random_exploration,GP M52 PI + Random Exploration,5,0.2925,0.12489469248341306,0.02792730224218436,5.85,2.497893849668261,0.5585460448436873,1.6797525776122928,0.8572505093619958,0.1916870412679742,0.34245519257101964,0.21085322142352128,0.04714821363778085,9.178736437011693,2.560649438477773,0.5725786210982966,3.1866840770591995,1.3200800197696114,0.2951788659944118,-1.1958689309681132,0.888308168626725,0.1986317450017703,0.0,0,0.23776248760531865,0.3472375123946813,4.755249752106373,6.9447502478936265,1.3040459767270633,2.0554591784975225,0.25004469384096917,0.4348656913010701,8.056482339659032,10.300990534364354,2.6081334997101524,3.7652346544082467,-1.585187151171583,-0.8065507107646435,0.30357142857142855,0.1168991596797624,0.026139446755655125,0.25233811293034447,0.3548047442125126
pi_random_exploration,GP M52 PI + Random Exploration,6,0.2875,0.1336482027760312,0.029884646647788185,5.75,2.6729640555206244,0.5976929329557638,1.570360704014899,0.7550824720335895,0.168841573608569,0.3390208685559805,0.24970706973972548,0.05583619824003068,8.960092685053853,3.1283610818609526,0.6995228037205873,3.0317623441922965,1.2930546744794478,0.28913581507599073,-1.107334125391223,0.8569504577813193,0.19161994769485935,0.0,0,0.22892609257033514,0.3460739074296648,4.578521851406703,6.921478148593297,1.2394312197421038,1.9012901882876942,0.22958192000552038,0.4484598171064407,7.589027989761502,10.331157380346204,2.465056146643355,3.598468541741238,-1.4829092228731473,-0.7317590279092987,0.30357142857142855,0.1168991596797624,0.026139446755655125,0.25233811293034447,0.3548047442125126
pi_random_exploration,GP M52 PI + Random Exploration,7,0.2875,0.1255252123972249,0.028068290781029417,5.75,2.5105042479444974,0.5613658156205884,1.5870839548389455,0.7380469395309631,0.16503231273769103,0.37866845014786465,0.20490666409173613,0.04581852299518373,9.020529151901567,2.9018104364785837,0.6488645393784448,3.069152337031568,1.2612677920349997,0.28202805208213283,-1.1227354765947535,0.7636902006213282,0.1707663202339742,0.0,0,0.23248615006918233,0.3425138499308176,4.649723001383647,6.850276998616353,1.263620621873071,1.91054728780482,0.28886414507730457,0.46847275521842474,7.748754654719815,10.292303649083319,2.5163773549505875,3.6219273191125483,-1.457437464253343,-0.788033488936164,0.30357142857142855,0.1168991596797624,0.026139446755655125,0.25233811293034447,0.3548047442125126
pi_uncertainty,PI + Uncertainty,0,0.3525,0.13999530067300942,0.031303900883537114,7.05,2.799906013460189,0.6260780176707422,2.2094630891815354,1.0111683996329472,0.22610412782789432,0.7036535487072457,0.9796169446686253,0.2190490080189696,10.412960757449493,2.1006618084914166,0.4697222601524451,3.9182659033551444,1.2857344465157845,0.2874989623422362,-1.5541595852012489,1.2738476661624027,0.28484099745185903,0.0,0,0.29114435426826724,0.4138556457317327,5.822887085365345,8.277112914634655,1.7662989986388626,2.6526271797242083,0.2743174929900653,1.132989604424426,9.4923051275507,11.333616387348286,3.3547679371643615,4.481763869545928,-2.1124479402068923,-0.9958712301956052,0.3146428571428571,0.11926365110442631,0.026668163111431505,0.2623732574444514,0.36691245684126284
pi_uncertainty,PI + Uncertainty,1,0.3525,0.12190915513308735,0.027259715795715074,7.05,2.4381831026617466,0.5451943159143015,2.209437803720996,0.9249652415862175,0.20682851570112976,0.5596828317657089,0.5685891789622262,0.1271404055430331,10.35037996215342,2.195997130191103,0.4910398861501761,3.9511507008269033,1.268264905240273,0.28359265415945795,-1.5328313735142252,1.2366315447553164,0.2765192197193461,0.0,0,0.29907095704039843,0.4059290429596015,5.981419140807969,8.118580859192031,1.8040539129467814,2.6148216944952103,0.310487636901364,0.8088780266300537,9.387941785299075,11.312818139007765,3.3953090986743657,4.506992302979441,-2.0748090441641436,-0.9908537028643067,0.3146428571428571,0.11926365110442631,0.026668163111431505,0.2623732574444514,0.36691245684126284
